Название,Тип,Комментарий,motor,valve,valve_analog
- Режим -,,,,,
man_mode_li,bool,1 = ручной режим через подключение,+,+,+
aut_mod_li,bool,1 = авто режим через подключение,+,+,+
mv_ext_li,bool,1 = внешнее задание,-,-,+
mv_int_li,bool,1 = внутреннее задание,-,-,+
,,,,,
"- Управление - ",,,,,
open_aut,bool,1 = открыть в авто,,+,
close_aut,bool,1 = закрыть в авто,,+,
start_aut,bool,1 = запустить в авто,+,,
stop_aut,bool,1 = остановить в авто,+,,
mv_ext,real,Внешнее задание работы,-,-,+
,,,,,
"- Обратная связь - ",,,,,
fbk,bool,1 = обр. связь включения,+,-,-
fbk_open,bool,"1 = обр. связь, открыто",-,+,-
fbk_close,bool,"1 = обр. связь, закрыто",-,+,-
rbk,real,Фактическое положение,-,-,+
mon_ti_dyn,time,Время контроля при переключении,+,+,+
mon_to_sta,time,Время контроля в состоянии покоя,+,+,+
safe_pos,int,"Нейтральное положение для клапана: 0=НЗ, 1=НО",-,+,+
pos_dead_band,real,Допустимое рассогласование mv и rbk,-,-,+
pos_di_open,real,Значение rbk - задвижка открыта,-,-,+
pos_di_close,real,Значение rbk - задвижка закрыта,-,-,+
,,,,,
- Блокировки -,,,,,
perm_en,bool,1 = функция стартовой блокировки активна,+,+,
permit,bool,0 = стартовая блокировка,+,+,
intl_en,bool,1 = функция оперативной блокировки активна,+,+,
intlock,bool,0 = оперативная блокировка,+,+,
prot_en,bool,1 = функция защитной блокировки активна,+,+,
protect,bool,0 = защитная блокировка,+,+,
,,,,,
,,,,,
"- Ошибки - ",,,,,
trip,bool,1 = защита двигателя в порядке,+,-,-
fault_ext,bool,1 = внешняя ошибка,+,+,-
rst_li,bool,1 = сброс ошибок,+,+,+
