Название,Тип,Комментарий,motor,valve,valve_analog
- Режим -,,,,,
aut_act,bool,Активен авто режим,+,+,
man_act,bool,Активен ручной режим,+,+,
mv_ext_act,bool,1 = внешнее задание управления; 0 = внутреннее,-,-,+
,,,,,
"- Управление - ",,,,,
ctrl_open,bool,Выход управления - открытие,-,+,-
ctrl_open,bool,Выход управления - закрытие,-,+,-
start,bool,1 = команда на запуск,+,-,-
rdy_to_start,bool,1 = готовность к работе,+,+,
mv,real,Задание работы,-,-,+
,,,,,
"- Обратная связь - ",,,,,
closed,bool,1 = клапан закрыт,-,+,+
closing,bool,1 = клапан закрывается,-,+,+
opened,bool,1 = клапан открыт,-,+,+
opening,bool,1 = клапан открывается,-,+,+
pos_reached,bool,1 = позиция достигнута,-,-,+
run,bool,1 = двигатель запущен,+,-,-
stopped,bool,1 = двигатель остановлен,+,-,-
,,,,,
"- Ошибки - ",,,,,
grp_err,bool,Групповая ошибка,+,+,
mon_dyn_err,bool,Ошибка обр. связи при переключении,+,+,
mon_sta_err,bool,Ошибка обр. связи в состоянии покоя,+,+,
protect_err,bool,Защитная блокировка,+,+,
trip_err,bool,"1 = авария ""Защита двигателя""",+,,
fault_ext_err,bool,1 = внешняя авария,+,+,
